
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 55	 05	 0605	0275	 0231
15	 55	 05	 0683	0274	 0233
15	 55	 05	 0822	0273	 0236
15	 55	 05	 0905	0273	 0237
15	 55	 05	 0981	0274	 0238
15	 55	 06	 0049	0275	 0239
15	 55	 06	 0216	0327	 0156
15	 55	 06	 0291	0325	 0156
15	 55	 06	 0368	0323	 0155
15	 55	 06	 0423	0322	 0154
15	 55	 06	 0478	0320	 0153
15	 55	 06	 0533	0320	 0153
15	 55	 06	 0595	0318	 0153
15	 55	 06	 0667	0317	 0152
15	 55	 06	 0748	0315	 0152
15	 55	 06	 0821	0313	 0151
15	 55	 06	 0877	0312	 0151
15	 55	 06	 0951	0311	 0151
15	 55	 07	 0025	0309	 0150
15	 55	 07	 0080	0307	 0150
15	 55	 07	 0149	0306	 0149
15	 55	 07	 0207	0305	 0149
15	 55	 07	 0274	0303	 0148
15	 55	 07	 0341	0302	 0148
15	 55	 07	 0417	0301	 0148
15	 55	 07	 0480	0298	 0148
15	 55	 07	 0553	0297	 0148
15	 55	 07	 0637	0295	 0147
15	 55	 07	 0714	0293	 0147
15	 55	 07	 0791	0291	 0147
15	 55	 07	 0861	0290	 0147
15	 55	 07	 0932	0288	 0147
15	 55	 08	 0009	0287	 0147
15	 55	 08	 0066	0285	 0147
15	 55	 08	 0151	0283	 0147
15	 55	 08	 0222	0281	 0147
15	 55	 08	 0308	0280	 0147
15	 55	 08	 0385	0278	 0147
15	 55	 08	 0443	0277	 0147
15	 55	 08	 0505	0275	 0147
15	 55	 08	 0588	0274	 0147
15	 55	 08	 0643	0272	 0147
15	 55	 08	 0713	0271	 0148
15	 55	 08	 0767	0269	 0148
15	 55	 08	 0823	0268	 0148
15	 55	 08	 0886	0266	 0149
15	 55	 08	 0930	0266	 0148
15	 55	 08	 0997	0264	 0149
15	 55	 09	 0073	0263	 0149
15	 55	 09	 0142	0261	 0150
15	 55	 09	 0196	0260	 0151
15	 55	 09	 0271	0258	 0151
15	 55	 09	 0332	0257	 0152
15	 55	 09	 0419	0255	 0153
15	 55	 09	 0494	0253	 0153
15	 55	 09	 0541	0252	 0154
15	 55	 09	 0622	0251	 0155
15	 55	 09	 0699	0249	 0156
15	 55	 09	 0778	0248	 0157
15	 55	 09	 0854	0247	 0158
15	 55	 09	 0931	0245	 0160
15	 55	 09	 0994	0243	 0161
15	 55	 10	 0051	0242	 0162
15	 55	 10	 0111	0242	 0162
15	 55	 10	 0182	0241	 0163
15	 55	 10	 0236	0239	 0165
15	 55	 10	 0290	0238	 0166
15	 55	 10	 0348	0238	 0167
15	 55	 10	 0418	0236	 0168
15	 55	 10	 0492	0234	 0170
15	 55	 10	 0551	0233	 0171
15	 55	 10	 0607	0233	 0172
15	 55	 10	 0675	0232	 0173
15	 55	 10	 0744	0231	 0174
15	 55	 10	 0822	0229	 0177
15	 55	 10	 0903	0228	 0178
15	 55	 10	 0963	0227	 0180
15	 55	 11	 0043	0226	 0181
15	 55	 11	 0087	0225	 0182
15	 55	 11	 0169	0224	 0183
15	 55	 11	 0246	0223	 0184
15	 55	 11	 0323	0222	 0185
15	 55	 11	 0393	0221	 0188
15	 55	 11	 0450	0221	 0189
15	 55	 11	 0526	0220	 0190
15	 55	 11	 0606	0219	 0192
15	 55	 11	 0686	0218	 0193
15	 55	 11	 0760	0217	 0194
15	 55	 11	 0843	0216	 0196
15	 55	 11	 0909	0216	 0197
15	 55	 11	 0978	0215	 0198
15	 55	 12	 0057	0215	 0200
15	 55	 12	 0134	0214	 0202
15	 55	 12	 0189	0213	 0203
15	 55	 12	 0245	0213	 0203
15	 55	 12	 0305	0213	 0204
15	 55	 12	 0361	0212	 0205
15	 55	 12	 0418	0212	 0206
15	 55	 12	 0477	0212	 0207
15	 55	 12	 0546	0212	 0209
15	 55	 12	 0624	0212	 0210
15	 55	 12	 0698	0212	 0212
15	 55	 12	 0772	0211	 0214
15	 55	 12	 0840	0211	 0215
15	 55	 12	 0916	0211	 0217
15	 55	 12	 0971	0212	 0218
15	 55	 13	 0045	0212	 0219
15	 55	 13	 0121	0213	 0221
15	 55	 13	 0198	0213	 0224
15	 55	 13	 0242	0213	 0224
15	 55	 13	 0309	0214	 0226
15	 55	 13	 0355	0214	 0228
15	 55	 13	 0433	0214	 0230
15	 55	 13	 0509	0214	 0232
15	 55	 13	 0565	0215	 0233
15	 55	 13	 0622	0216	 0235
15	 55	 13	 0689	0217	 0237
15	 55	 13	 0746	0217	 0238
15	 55	 13	 0817	0218	 0240
15	 55	 13	 0887	0219	 0242
15	 55	 13	 0964	0221	 0245
15	 55	 14	 0040	0222	 0247
15	 55	 14	 0123	0223	 0249
15	 55	 14	 0197	0224	 0252
15	 55	 14	 0280	0226	 0254
15	 55	 14	 0356	0227	 0256
15	 55	 14	 0434	0229	 0259
15	 55	 14	 0511	0231	 0262
15	 55	 14	 0588	0232	 0263
15	 55	 14	 0665	0234	 0266
15	 55	 14	 0722	0236	 0268
15	 55	 14	 0791	0237	 0269
15	 55	 14	 0873	0240	 0272
15	 55	 14	 0951	0242	 0273
15	 55	 15	 0027	0244	 0275
15	 55	 15	 0088	0246	 0277
15	 55	 15	 0168	0247	 0279
15	 55	 15	 0245	0249	 0281
15	 55	 15	 0298	0251	 0282
15	 55	 15	 0355	0253	 0284
15	 55	 15	 0426	0256	 0285
15	 55	 15	 0479	0257	 0285
15	 55	 15	 0533	0259	 0287
15	 55	 15	 0591	0261	 0288
15	 55	 15	 0663	0263	 0290
15	 55	 15	 0825	0270	 0334
15	 55	 15	 0902	0271	 0334
15	 55	 15	 0982	0271	 0334
15	 55	 16	 0057	0272	 0334
15	 55	 16	 0118	0273	 0334
15	 55	 16	 0176	0273	 0334
$$END TRACK
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 55	 00	 0023	0370	 0262
15	 55	 00	 0089	0371	 0262
15	 55	 00	 0161	0371	 0260
15	 55	 00	 0234	0371	 0259
15	 55	 00	 0309	0371	 0258
15	 55	 00	 0387	0372	 0256
15	 55	 00	 0543	0372	 0254
15	 55	 00	 0586	0372	 0253
15	 55	 00	 0671	0372	 0252
15	 55	 00	 0746	0372	 0251
15	 55	 00	 0820	0372	 0249
15	 55	 00	 0886	0373	 0247
15	 55	 00	 0963	0373	 0247
15	 55	 01	 0112	0373	 0243
15	 55	 01	 0179	0373	 0242
15	 55	 01	 0246	0373	 0241
15	 55	 01	 0322	0373	 0239
15	 55	 01	 0379	0373	 0238
15	 55	 01	 0447	0373	 0237
15	 55	 01	 0529	0374	 0235
15	 55	 01	 0607	0374	 0233
15	 55	 01	 0681	0374	 0232
15	 55	 01	 0737	0374	 0231
15	 55	 01	 0806	0374	 0229
15	 55	 01	 0863	0373	 0228
15	 55	 01	 0933	0373	 0227
15	 55	 02	 0011	0374	 0225
15	 55	 02	 0055	0373	 0224
15	 55	 02	 0139	0374	 0222
15	 55	 02	 0212	0374	 0221
15	 55	 02	 0271	0374	 0220
15	 55	 02	 0342	0373	 0219
15	 55	 02	 0416	0373	 0218
15	 55	 02	 0473	0373	 0216
15	 55	 02	 0543	0372	 0215
15	 55	 02	 0585	0372	 0213
15	 55	 02	 0652	0372	 0212
15	 55	 02	 0699	0372	 0212
15	 55	 02	 0759	0372	 0211
15	 55	 02	 0833	0371	 0210
15	 55	 02	 0979	0371	 0207
15	 55	 03	 0043	0370	 0206
15	 55	 03	 0102	0370	 0205
15	 55	 03	 0169	0370	 0204
15	 55	 03	 0247	0369	 0203
15	 55	 03	 0320	0368	 0201
15	 55	 03	 0379	0368	 0200
15	 55	 03	 0448	0368	 0200
15	 55	 03	 0526	0367	 0198
15	 55	 03	 0570	0367	 0197
15	 55	 03	 0651	0366	 0197
15	 55	 03	 0720	0365	 0195
15	 55	 03	 0769	0365	 0194
15	 55	 03	 0832	0365	 0193
15	 55	 03	 0902	0364	 0192
15	 55	 03	 0978	0363	 0191
15	 55	 04	 0033	0363	 0190
15	 55	 04	 0106	0362	 0189
15	 55	 04	 0182	0361	 0188
15	 55	 04	 0260	0360	 0186
15	 55	 04	 0332	0359	 0185
15	 55	 04	 0404	0359	 0184
15	 55	 04	 0473	0358	 0183
15	 55	 04	 0557	0356	 0181
15	 55	 04	 0634	0355	 0180
15	 55	 04	 0716	0354	 0179
15	 55	 04	 0794	0353	 0178
15	 55	 04	 0871	0352	 0177
15	 55	 04	 0942	0351	 0175
15	 55	 05	 0014	0350	 0174
15	 55	 05	 0087	0348	 0173
15	 55	 05	 0168	0347	 0172
15	 55	 05	 0243	0345	 0171
15	 55	 05	 0301	0344	 0169
15	 55	 05	 0388	0342	 0167
15	 55	 05	 0466	0341	 0166
15	 55	 05	 0540	0340	 0166
15	 55	 05	 0605	0339	 0165
15	 55	 05	 0683	0338	 0164
15	 55	 05	 0746	0336	 0162
15	 55	 05	 0822	0335	 0161
15	 55	 05	 0905	0333	 0160
15	 55	 05	 0981	0332	 0160
15	 55	 06	 0049	0330	 0158
15	 55	 06	 0137	0329	 0157
15	 55	 06	 0216	0327	 0156
15	 55	 06	 0291	0325	 0156
15	 55	 06	 0368	0323	 0155
15	 55	 06	 0423	0322	 0154
15	 55	 06	 0478	0320	 0153
15	 55	 06	 0533	0320	 0153
15	 55	 06	 0595	0318	 0153
15	 55	 06	 0667	0317	 0152
15	 55	 06	 0748	0315	 0152
15	 55	 06	 0821	0313	 0151
15	 55	 06	 0877	0312	 0151
15	 55	 06	 0951	0311	 0151
15	 55	 07	 0025	0309	 0150
15	 55	 07	 0080	0307	 0150
15	 55	 07	 0149	0306	 0149
15	 55	 07	 0207	0305	 0149
15	 55	 07	 0274	0303	 0148
15	 55	 07	 0341	0302	 0148
15	 55	 07	 0417	0301	 0148
15	 55	 07	 0480	0298	 0148
15	 55	 07	 0553	0297	 0148
15	 55	 07	 0637	0295	 0147
15	 55	 07	 0714	0293	 0147
15	 55	 07	 0791	0291	 0147
15	 55	 07	 0861	0290	 0147
15	 55	 07	 0932	0288	 0147
15	 55	 08	 0009	0287	 0147
15	 55	 08	 0066	0285	 0147
15	 55	 08	 0151	0283	 0147
15	 55	 08	 0222	0281	 0147
15	 55	 08	 0308	0280	 0147
15	 55	 08	 0385	0278	 0147
15	 55	 08	 0443	0277	 0147
15	 55	 08	 0505	0275	 0147
15	 55	 08	 0588	0274	 0147
15	 55	 08	 0643	0272	 0147
15	 55	 08	 0713	0271	 0148
15	 55	 08	 0767	0269	 0148
15	 55	 08	 0823	0268	 0148
15	 55	 08	 0886	0266	 0149
15	 55	 08	 0930	0266	 0148
15	 55	 08	 0997	0264	 0149
15	 55	 09	 0073	0263	 0149
15	 55	 09	 0142	0261	 0150
15	 55	 09	 0196	0260	 0151
15	 55	 09	 0271	0258	 0151
15	 55	 09	 0332	0257	 0152
15	 55	 09	 0419	0255	 0153
15	 55	 09	 0494	0253	 0153
15	 55	 09	 0541	0252	 0154
15	 55	 09	 0622	0251	 0155
15	 55	 09	 0699	0249	 0156
15	 55	 09	 0778	0248	 0157
15	 55	 09	 0854	0247	 0158
15	 55	 09	 0931	0245	 0160
15	 55	 09	 0994	0243	 0161
15	 55	 10	 0051	0242	 0162
15	 55	 10	 0111	0242	 0162
15	 55	 10	 0182	0241	 0163
15	 55	 10	 0236	0239	 0165
15	 55	 10	 0290	0238	 0166
15	 55	 10	 0348	0238	 0167
15	 55	 10	 0418	0236	 0168
15	 55	 10	 0492	0234	 0170
15	 55	 10	 0551	0233	 0171
15	 55	 10	 0607	0233	 0172
15	 55	 10	 0675	0232	 0173
15	 55	 10	 0744	0231	 0174
15	 55	 10	 0822	0229	 0177
15	 55	 10	 0903	0228	 0178
15	 55	 10	 0963	0227	 0180
15	 55	 11	 0043	0226	 0181
15	 55	 11	 0087	0225	 0182
15	 55	 11	 0169	0224	 0183
15	 55	 11	 0246	0223	 0184
15	 55	 11	 0323	0222	 0185
15	 55	 11	 0393	0221	 0188
